
2022-02-05,17000
2022-02-06,13000
2022-02-07,16000
2022-02-08,14000
2022-02-09,19000
2022-02-10,11000
2022-02-11,18000
2022-02-12,12000
2022-02-13,17000
2022-02-14,13000
2022-02-15,16000
2022-02-16,14000
2022-02-17,19000
2022-02-18,11000
2022-02-19,18000
2022-02-20,12000
2022-02-21,17000
2022-02-22,13000
2022-02-23,16000
2022-02-24,14000
2022-02-25,19000
2022-02-26,11000
2022-02-27,18000
2022-02-28,12000
2022-03-01,17000
2022-03-02,13500
2022-03-03,17500
2022-03-04,14500
2022-03-05,18500
2022-03-06,15500
2022-03-07,19500
2022-03-08,16500
2022-03-09,20000
2022-03-10,17500
2022-03-11,20500
2022-03-12,18500
2022-03-13,21000
2022-03-14,19500
2022-03-15,21500
2022-03-16,20500
2022-03-17,22000
2022-03-18,21000
2022-03-19,22500
2022-03-20,21500
2022-03-21,23000
2022-03-22,22000
2022-03-23,23500
2022-03-24,22500
2022-03-25,24000
2022-03-26,23000
2022-03-27,24500
2022-03-28,23500
2022-03-29,25000
2022-03-30,24000
2022-03-31,25500
