Date,TikTokViews

2022-01-01,10000
2022-01-02,10200
2022-01-03,10400
2022-01-04,10600
2022-01-05,10800
2022-01-06,11000
2022-01-07,11200
2022-01-08,11400
2022-01-09,11600
2022-01-10,11800
2022-01-11,12000
2022-01-12,12200
2022-01-13,12400
2022-01-14,12600
2022-01-15,12800
2022-01-16,13000
2022-01-17,13200
2022-01-18,13400
2022-01-19,13600
2022-01-20,13800
2022-01-21,14000
2022-01-22,14200
2022-01-23,14400
2022-01-24,14600
2022-01-25,14800
2022-01-26,15000
2022-01-27,15200
2022-01-28,15400
2022-01-29,15600
2022-01-30,15800
2022-01-31,16000
2022-02-01,16200
2022-02-02,16400
2022-02-03,16600
2022-02-04,16800
2022-02-05,17000
2022-02-06,17200
2022-02-07,17400
2022-02-08,17600
2022-02-09,17800
2022-02-10,18000
2022-02-11,18200
2022-02-12,18400
2022-02-13,18600
2022-02-14,18800
2022-02-15,19000
2022-02-16,19200
2022-02-17,19400
2022-02-18,19600
2022-02-19,19800
2022-02-20,20000
2022-02-21,19800
2022-02-22,19600
2022-02-23,19400
2022-02-24,19200
2022-02-25,19000
2022-02-26,18800
2022-02-27,18600
2022-02-28,18400
2022-03-01,18200
